0,1,2,3,4,5,6,7,anomaly
-0.9506406,-0.9604019,-0.91907036,0.20959964,-0.94033873,-0.9508457,-0.63673306,-0.95038265,-1
-0.9630792,-0.94557905,-0.90894544,0.35347062,-0.8868874,-0.9204264,-0.695809,-0.9520697,-1
-0.9756725,-0.96385413,-0.9753224,0.11443654,-0.96328944,-0.9497588,-0.7773573,-0.969741,-1
-0.98349345,-0.97951305,-0.9523049,0.5324643,-0.94920594,-0.9374163,-0.7651983,-0.98100203,-1
-0.9774312,-0.95324236,-0.91483825,0.42544997,-0.949137,-0.92946374,-0.8106816,-0.94783384,-1
-0.96582294,-0.9400169,-0.90991145,0.38680732,-0.8873665,-0.8719203,-0.78480005,-0.96268743,-1
-0.9473522,-0.9075885,-0.84977585,0.51209384,-0.92397636,-0.8324416,-0.5212815,-0.9407499,-1
-0.95881253,-0.97255987,-0.94358325,0.36956635,-0.95545864,-0.9623466,-0.80938184,-0.9796695,-1
-0.9861446,-0.9748689,-0.9695193,0.36296487,-0.97841454,-0.9719818,-0.6627404,-0.97143275,-1
-0.96946967,-0.96881163,-0.8961826,0.45317376,-0.9614231,-0.97573006,-0.79996014,-0.97867775,-1
-0.978793,-0.984476,-0.94730335,0.49940673,-0.9306356,-0.96682596,-0.79183024,-0.96375704,-1
-0.9702841,-0.98908854,-0.9128094,0.65084916,-0.9695733,-0.9576261,-0.8036373,-0.9745672,-1
-0.9754951,-0.98508006,-0.94220746,0.33129522,-0.9424671,-0.9614657,-0.8125194,-0.96310097,-1
-0.9835561,-0.97200936,-0.93715733,0.3803123,-0.96138734,-0.9524793,-0.66196704,-0.9692405,-1
-0.9912053,-0.9732779,-0.95003754,0.3665883,-0.95520085,-0.9687583,-0.7305405,-0.9717607,-1
-0.97200865,-0.9826142,-0.95088875,0.4928689,-0.96403223,-0.9608889,-0.7041,-0.96830827,-1
-0.9614579,-0.9712086,-0.92716426,0.19822478,-0.93472046,-0.9314137,-0.6479307,-0.9708387,-1
-0.9390198,-0.9689301,-0.92469335,0.27754092,-0.95503724,-0.9312916,-0.74517226,-0.9488505,-1
-0.9779603,-0.9744385,-0.93803257,0.6683566,-0.9583438,-0.95848423,-0.69002324,-0.9552627,-1
-0.97103435,-0.9664617,-0.94136405,0.15550335,-0.948607,-0.9369379,-0.80011123,-0.9791564,-1
-0.98177725,-0.96657825,-0.9531398,0.3154212,-0.9417457,-0.9495915,-0.80147904,-0.9747473,-1
-0.99070674,-0.9858397,-0.9509342,0.4724953,-0.96310806,-0.9703306,-0.8384135,-0.9781015,-1
-0.9694293,-0.98348486,-0.9225632,0.4492877,-0.96129817,-0.9562716,-0.7196064,-0.9668006,-1
-0.93336064,-0.94283533,-0.86476254,0.23478884,-0.9145909,-0.9177426,-0.740668,-0.8987806,-1
-0.9623994,-0.93928826,-0.8865762,0.42328855,-0.91572,-0.9293168,-0.71895224,-0.93949544,-1
-0.97107387,-0.97429633,-0.94285303,0.29352626,-0.95168376,-0.9516999,-0.76394176,-0.9829598,-1
-0.97932357,-0.9599959,-0.91882056,0.4011981,-0.93067575,-0.9366041,-0.764302,-0.93310195,-1
-0.9910058,-0.99325496,-0.9404474,0.5401164,-0.97499603,-0.9732561,-0.7361303,-0.99172366,-1
-0.9645247,-0.9495206,-0.9267213,0.49642193,-0.9229556,-0.9158471,-0.6770615,-0.9438656,-1
-0.9694942,-0.9294445,-0.8832286,0.18316156,-0.94449466,-0.9374019,-0.6220988,-0.9621888,-1
-0.95630527,-0.98497045,-0.9505265,0.42010897,-0.94468343,-0.9668856,-0.7837331,-0.9841659,-1
-0.9875256,-0.9886452,-0.9628626,0.7087546,-0.9820216,-0.9591726,-0.83199507,-0.98299336,-1
-0.94955456,-0.956983,-0.8739236,0.38096714,-0.934237,-0.9324452,-0.77167064,-0.9539507,-1
-0.9852769,-0.9811682,-0.9418485,0.32695815,-0.9604926,-0.961082,-0.68789923,-0.9787172,-1
-0.9432909,-0.9365062,-0.8593841,0.29192263,-0.8604051,-0.9103364,-0.575879,-0.9031507,-1
-0.9838223,-0.98315346,-0.94752455,0.45849255,-0.9680703,-0.97269446,-0.6855276,-0.98225737,-1
-0.99223155,-0.97178483,-0.92224884,0.39442855,-0.95258814,-0.94206035,-0.80637956,-0.95626163,-1
-0.9566868,-0.96366,-0.9174798,0.42852724,-0.93430126,-0.9351756,-0.59349227,-0.9643837,-1
-0.9150456,-0.9461057,-0.8433616,0.27976537,-0.87692183,-0.89136595,-0.5927105,-0.9210669,1
-0.9657261,-0.95921516,-0.9038818,0.21903585,-0.9309117,-0.9236212,-0.76057297,-0.9384787,-1
-0.96585816,-0.9615835,-0.9451415,0.60054415,-0.9241208,-0.9332583,-0.7451993,-0.95215267,-1
-0.96850246,-0.976761,-0.9398769,0.3485092,-0.9645943,-0.890289,-0.71593416,-0.916532,-1
-0.98094326,-0.9825424,-0.9564577,0.49591908,-0.97406894,-0.95932,-0.8133575,-0.97202843,-1
-0.9240137,-0.9657761,-0.91662633,0.32448283,-0.8401047,-0.8465127,-0.6643005,-0.83832943,-1
-0.96727574,-0.9585531,-0.9307223,0.3256926,-0.94996387,-0.89068455,-0.77480245,-0.9450322,-1
-0.945734,-0.935775,-0.88979167,0.26300734,-0.9060705,-0.93548095,-0.6073298,-0.9216595,-1
-0.96236855,-0.9737254,-0.93213284,0.08198314,-0.8748774,-0.9598003,-0.53067416,-0.9812748,-1
-0.9533341,-0.96358275,-0.9039912,0.40665147,-0.8910751,-0.9367511,-0.674562,-0.9590821,-1
-0.9877989,-0.9772317,-0.97090703,0.20695008,-0.9639995,-0.9443903,-0.68253994,-0.95601636,-1
-0.95912933,-0.96384573,-0.91183364,0.40239257,-0.9478139,-0.95151275,-0.5859422,-0.975536,-1
-0.96237874,-0.9543465,-0.8586154,0.3845048,-0.9066086,-0.93255407,-0.8052672,-0.95672566,-1
-0.9890976,-0.9797686,-0.95696807,0.6484081,-0.9589361,-0.97098476,-0.6957737,-0.9696252,-1
-0.95272875,-0.9157244,-0.8363267,0.46698162,-0.9079649,-0.947023,-0.7734683,-0.9431981,-1
-0.9633214,-0.9575217,-0.90446943,0.040791985,-0.82107913,-0.9311477,-0.7597745,-0.92905366,-1
-0.9141428,-0.94325906,-0.8946698,0.47887084,-0.84808815,-0.8821438,-0.7450157,-0.88985443,-1
-0.97309965,-0.96550983,-0.93141866,0.55654824,-0.9502484,-0.953332,-0.6585044,-0.9702655,-1
-0.98426104,-0.99502605,-0.97334754,0.53124404,-0.9849298,-0.98006314,-0.64569265,-0.9820935,-1
-0.98111135,-0.98166484,-0.90030277,0.52144915,-0.9688348,-0.96698254,-0.8305018,-0.981687,-1
-0.96604145,-0.9743242,-0.9243495,0.47269678,-0.9651536,-0.95016795,-0.6855653,-0.9643169,-1
-0.94175875,-0.8879992,-0.8261425,0.27490366,-0.79991394,-0.9135592,-0.7497433,-0.9141156,-1
-0.9460925,-0.9353707,-0.907094,0.4365059,-0.9316351,-0.91345125,-0.6501396,-0.9317468,-1
-0.9843248,-0.9726514,-0.93635607,0.69460064,-0.9707885,-0.96568125,-0.79416084,-0.9644931,-1
-0.97328484,-0.96595603,-0.9369134,0.5107952,-0.9482311,-0.9534852,-0.6949243,-0.96384126,-1
-0.96503,-0.9805929,-0.8874955,0.51642334,-0.963327,-0.9531047,-0.70844847,-0.9717795,-1
-0.9715655,-0.9399311,-0.8723706,0.45263055,-0.93228257,-0.9169476,-0.58165103,-0.95052934,-1
-0.98165876,-0.95990956,-0.89481777,0.46937767,-0.9621955,-0.9691144,-0.7303906,-0.9784269,-1
